ID,indoors,created_at,session_id,device_id,room,floor,building,connected_ap,rssi_strength,is_center,gps_alt,gps_longitude,gps_latitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_sea_level,baro_pressure,baro_relative_altitude,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
1150,1,2021-02-06 15:08:24,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-52,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,42,14,-36,58,
1151,1,2021-02-06 15:08:25,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-53,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,43,18,-35,59,
1152,1,2021-02-06 15:08:26,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-52,0,46,-73,40,-1,12,0,0,1017,1007,80,GS,0-2,activity_still,New York,United States,47,16,-36,62,
1153,1,2021-02-06 15:08:27,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-53,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,48,16,-37,63,
1154,1,2021-02-06 15:08:28,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-48,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,36,22,-38,57,
1155,1,2021-02-06 15:08:29,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,20,17,-39,47,
1156,1,2021-02-06 15:08:30,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-52,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,21,6,-40,46,
1157,1,2021-02-06 15:08:31,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-55,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,24,6,-40,47,
1158,1,2021-02-06 15:08:32,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-54,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,24,8,-40,48,
1159,1,2021-02-06 15:08:33,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-55,1,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,25,5,-37,46,
